,price,price,price,price,price,price,mileage_km,mileage_km,mileage_km,vehicle_age,vehicle_age,vehicle_age,power_hp,power_hp,power_hp
,count,mean,median,std,min,max,mean,median,std,mean,median,std,mean,median,std
cluster,,,,,,,,,,,,,,,
0,198,55862.40404040404,57100.0,11399.620414839264,29700.0,88999.0,63655.5,63108.5,19164.114964248787,2.8181818181818183,2.0,0.990960528378804,385.4141414141414,394.0,24.041845964503548
1,72,49177.65277777778,47950.0,10369.402492951907,24500.0,85900.0,101752.22222222222,103395.0,22903.757631446915,7.833333333333333,8.0,1.7116008485592462,464.3611111111111,441.0,51.27124926861978
2,298,31126.771812080537,30955.0,6397.768360521737,16990.0,51400.0,72119.26845637584,70780.5,14404.661747352297,2.063758389261745,2.0,0.46343974725972514,178.56711409395973,190.0,22.990787037707115
3,109,4549.238532110092,4000.0,1958.0999146899871,2000.0,10500.0,220846.11009174312,216000.0,26724.31515504721,14.55045871559633,14.0,1.5485132566917812,136.6605504587156,129.0,33.33922730766217
4,94,199573.7659574468,198405.5,18920.458058644774,166122.0,239990.0,9168.840425531915,7709.0,8422.513885833483,2.276595744680851,2.0,1.9086912440014845,474.3510638297872,500.0,47.46876900778197
5,120,23344.391666666666,22395.0,6408.240742726251,12500.0,44900.0,32307.108333333334,29426.5,20290.67237199135,2.466666666666667,3.0,1.5874154954460007,122.175,116.0,29.158697190525153
6,424,65058.17452830189,64990.0,7012.161397089317,45980.0,81000.0,10332.073113207547,9900.0,5411.22516873888,3.9858490566037736,4.0,0.21698064723772872,207.1061320754717,197.0,21.101814654055215
7,160,116982.0625,117863.0,10024.396315007998,84900.0,136450.0,4395.7125,100.0,7055.04653616939,3.9875,4.0,0.11145126131093688,457.36875,489.0,52.51949286220445
8,63,24817.571428571428,18950.0,15540.250883010624,5995.0,79950.0,181112.46031746033,180270.0,36768.63283746491,15.936507936507937,16.0,2.023036809202345,366.58730158730157,355.0,64.27502272132568
9,141,14425.212765957447,13850.0,5019.045866651365,4900.0,26990.0,189516.24113475176,188000.0,21658.829058146483,10.170212765957446,10.0,1.8820864061252827,190.93617021276594,185.0,39.26270727256108
10,400,69268.22,69825.0,8461.01090268405,46000.0,99476.0,4067.5175,100.0,7762.455337834374,4.005,4.0,0.41882398908680785,203.695,204.0,17.482880276341543
11,289,66348.43944636678,67450.0,6759.481643914038,38900.0,79980.0,19511.816608996538,19602.0,10634.999703102996,3.9653979238754324,4.0,0.415222410443564,265.49134948096884,269.0,25.044975403546417
12,173,31512.36416184971,31999.0,5927.500892106003,17980.0,47000.0,142968.62427745663,145000.0,22316.630199401723,8.208092485549132,8.0,1.3945672632977624,279.19075144508673,262.0,34.625966966794394
13,181,24489.116022099446,22900.0,10632.995122772727,9500.0,135900.0,139569.02209944752,134000.0,23589.248244805607,4.6187845303867405,4.0,1.0292827400041613,172.54696132596686,190.0,33.67086201819752
14,97,13576.824742268042,9990.0,9071.931485368195,2000.0,36990.0,126672.46391752578,132000.0,31779.9258482136,17.144329896907216,17.0,1.859601719912366,186.3298969072165,170.0,64.37450997377971
15,250,30155.768,28890.0,6748.577425148867,13999.0,59900.0,18953.588,18428.5,12540.155766050244,0.54,0.0,0.6527667406284442,150.824,160.0,25.78488832365683
16,139,88852.57553956835,87500.0,13392.286989039205,46599.0,124800.0,57406.36690647482,55000.0,25775.842049008195,10.93525179856115,11.0,1.655945078438507,375.1223021582734,385.0,35.999891391071
17,427,77834.39110070257,76890.0,10451.69229639002,57890.0,101899.0,8907.234192037471,8000.0,7427.151415374754,4.039812646370024,4.0,0.5225505906089832,391.3114754098361,400.0,27.40710189354272
18,57,102270.9649122807,99999.0,20110.64810080623,40999.0,149990.0,77058.14035087719,75900.0,28972.41610162439,19.736842105263158,20.0,2.819107734914121,462.3859649122807,450.0,96.25241265732453
19,195,19929.71282051282,19499.0,5240.575633329724,8785.0,39900.0,139087.37948717948,135000.0,23278.634281236893,5.656410256410257,6.0,1.4466090587876286,177.63589743589745,184.0,37.869223469395216
